week,year,locality_id,locality_name,adult_female_lice,mobile_lice,sessile_lice,probably_without_fish,lice_counted,municipality_id,municipality,county_id,county,latitude,longitude,weekly_lice_limit,above_weekly_lice_limit,sea_temperature_c,production_area_id,production_area,weekly_lice_limit_numeric,compliance_code,adult_female_lice_lag_1,adult_female_lice_lag_2,adult_female_lice_change,adult_female_lice_change_2w,adult_female_lice_mean_3w,distance_to_limit,ratio_to_limit,previous_breach,future_breach,temperature_flag,sea_temperature_clean,high_temperature_check,temp_previous_week,temp_next_week,temp_neighbor_mean,temp_difference,temperature_lag_1,temperature_change,temperature_mean_3w,lice_change_absolute,lice_change_anomaly,anomaly_type,warning_level
52,2025,3877,,0.05,0.31,0.1,Nei,Ja,,,,,,,Ukjent,Ukjent,8.6,,,,,,,,,,,,,,OK,8.6,False,,,,,,,,,False,Normal,Normal
1,2025,10029,Tuholmane Ø,0.43,0.75,0.06,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,8.4,3.0,Karmøy til Sotra,0.5,0.0,,,,,,0.07,0.86,,0.0,OK,8.4,False,,7.5,,,,,,,False,Normal,Normal
2,2025,10029,Tuholmane Ø,0.46,0.83,0.05,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,7.5,3.0,Karmøy til Sotra,0.5,0.0,0.43,,0.03,,,0.0399999999999999,0.92,0.0,0.0,OK,7.5,False,8.4,7.0,7.7,-0.2000000000000001,8.4,-0.9000000000000004,,0.03,False,Normal,Watch
3,2025,10029,Tuholmane Ø,0.02,0.03,0.0,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,7.0,3.0,Karmøy til Sotra,0.5,0.0,0.46,0.43,-0.44,-0.41,0.3033333333333333,0.48,0.04,0.0,0.0,OK,7.0,False,7.5,6.5,7.0,0.0,7.5,-0.5,7.633333333333333,0.44,False,Normal,Normal
4,2025,10029,Tuholmane Ø,0.11,0.1,0.0,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,6.5,3.0,Karmøy til Sotra,0.5,0.0,0.02,0.46,0.09,-0.35,0.1966666666666666,0.39,0.22,0.0,0.0,OK,6.5,False,7.0,6.8,6.9,-0.4000000000000003,7.0,-0.5,7.0,0.09,False,Normal,Normal
5,2025,10029,Tuholmane Ø,0.11,0.1,0.02,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,6.8,3.0,Karmøy til Sotra,0.5,0.0,0.11,0.02,0.0,0.09,0.08,0.39,0.22,0.0,0.0,OK,6.8,False,6.5,6.6,6.55,0.25,6.5,0.2999999999999998,6.766666666666667,0.0,False,Normal,Normal
6,2025,10029,Tuholmane Ø,0.0,0.16,0.02,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,6.6,3.0,Karmøy til Sotra,0.5,0.0,0.11,0.11,-0.11,-0.11,0.0733333333333333,0.5,0.0,0.0,0.0,OK,6.6,False,6.8,6.1,6.449999999999999,0.1500000000000003,6.8,-0.2000000000000001,6.633333333333333,0.11,False,Normal,Normal
7,2025,10029,Tuholmane Ø,0.05,0.22,0.05,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,6.1,3.0,Karmøy til Sotra,0.5,0.0,0.0,0.11,0.05,-0.06,0.0533333333333333,0.45,0.1,0.0,0.0,OK,6.1,False,6.6,5.2,5.9,0.1999999999999993,6.6,-0.5,6.5,0.05,False,Normal,Normal
8,2025,10029,Tuholmane Ø,0.05,0.13,0.05,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,5.2,3.0,Karmøy til Sotra,0.5,0.0,0.05,0.0,0.0,0.05,0.0333333333333333,0.45,0.1,0.0,0.0,OK,5.2,False,6.1,5.8,5.949999999999999,-0.7499999999999991,6.1,-0.8999999999999995,5.966666666666666,0.0,False,Normal,Normal
9,2025,10029,Tuholmane Ø,0.17,0.35,0.0,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,5.8,3.0,Karmøy til Sotra,0.5,0.0,0.05,0.05,0.12,0.12,0.09,0.3299999999999999,0.34,0.0,0.0,OK,5.8,False,5.2,5.4,5.300000000000001,0.4999999999999991,5.2,0.5999999999999996,5.7,0.12,False,Normal,Normal
10,2025,10029,Tuholmane Ø,0.13,0.29,0.22,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,5.4,3.0,Karmøy til Sotra,0.5,0.0,0.17,0.05,-0.04,0.08,0.1166666666666666,0.37,0.26,0.0,0.0,OK,5.4,False,5.8,5.7,5.75,-0.3499999999999996,5.8,-0.3999999999999994,5.466666666666666,0.04,False,Normal,Normal
11,2025,10029,Tuholmane Ø,0.16,0.97,0.37,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,5.7,3.0,Karmøy til Sotra,0.5,0.0,0.13,0.17,0.03,-0.01,0.1533333333333333,0.3399999999999999,0.32,0.0,0.0,OK,5.7,False,5.4,5.9,5.65,0.0499999999999998,5.4,0.2999999999999998,5.633333333333333,0.03,False,Normal,Normal
12,2025,10029,Tuholmane Ø,0.25,1.52,0.3,Nei,Ja,1149.0,KARMØY,11.0,Rogaland,59.371235,5.216333,0.5,Nei,5.9,3.0,Karmøy til Sotra,0.5,0.0,0.16,0.13,0.09,0.12,0.18,0.25,0.5,0.0,0.0,OK,5.9,False,5.7,6.3,6.0,-0.0999999999999996,5.7,0.2000000000000001,5.666666666666667,0.09,False,Normal,Normal
