locality_id,locality_name,mean_lice,lice_observations,valid_observations,breach_count,breach_rate_pct
32437,Urda,0.561,43,43,27,62.79
45078,Almbakkevika,0.856,28,28,14,50.0
13035,Sauaneset I,0.53,49,49,18,36.73
12077,Tveitnesvik,0.437,44,44,13,29.55
45087,Aukan,0.405,45,45,12,26.67
13567,Knappen Solheim,0.576,48,48,11,22.92
11559,Grimsholmen,0.273,35,35,8,22.86
13570,Ulværholmen,0.421,44,44,10,22.73
28976,Kelvesteinen,0.31,43,43,9,20.93
36877,Munkskjæra,0.453,31,31,6,19.35
11758,Sauøy,0.403,32,32,6,18.75
10224,Korsneset,0.322,39,39,7,17.95
35377,Kveitskjeret,0.358,34,34,6,17.65
10425,Heggvika,0.235,36,36,6,16.67
45154,Langneset,0.297,37,37,6,16.22
13841,Brunsvik,0.572,38,38,6,15.79
34857,Salatskjæra,0.431,38,38,6,15.79
20595,Kyrholmen S,0.281,51,51,8,15.69
11198,Geiterøya I,0.438,51,51,8,15.69
20776,Storoksen,0.271,32,32,5,15.62
30036,Jørstadskjera,0.317,45,45,7,15.56
11543,Buholmen,0.28,52,52,8,15.38
36100,Suholmen,0.4,52,52,8,15.38
13887,Reitholmen,0.366,40,40,6,15.0
11651,Ramsøy S,0.279,40,40,6,15.0
13032,Sølvøyane,0.295,34,34,5,14.71
26935,Frovågneset,0.278,48,48,7,14.58
45081,Langøya,0.328,35,35,5,14.29
32857,Trettholmosen,0.41,35,35,5,14.29
11809,Krabbestig,0.452,35,35,5,14.29
10216,Skåren,0.258,36,36,5,13.89
13837,Verpeide,0.356,37,37,5,13.51
38297,Sør Gåsvær,0.232,52,52,7,13.46
11193,Gamskjæran,0.328,52,52,7,13.46
11534,Klungsholmen,0.584,52,52,7,13.46
20115,Skjerholmen N,0.291,52,52,7,13.46
34197,Brennholmen,0.26,30,30,4,13.33
34037,Kråkåsen,0.19,38,38,5,13.16
13677,Trøan Bjørklibukta,0.274,38,38,5,13.16
24735,Gulholmen,0.241,38,38,5,13.16
19115,Fugløya,0.187,38,38,5,13.16
12897,Honnhammarvika,0.282,46,46,6,13.04
13006,Hestholmen N,0.323,46,46,6,13.04
11340,Bjørnstein,0.296,39,39,5,12.82
31637,Melkøya,0.315,48,48,6,12.5
31697,Oksen,0.614,32,32,4,12.5
26575,Teigane,0.202,41,41,5,12.2
32257,Kjøtta V,0.358,50,50,6,12.0
31038,Buarøy,0.238,51,51,6,11.76
30437,Kattholmen II,0.32,51,51,6,11.76
24495,Nystølvågen,0.216,43,43,5,11.63
35657,Varden,0.259,52,52,6,11.54
45122,Lausund,0.288,52,52,6,11.54
12348,Kåholmen,0.279,52,52,6,11.54
11920,Herøy,0.338,52,52,6,11.54
25895,Flornes,0.347,26,26,3,11.54
11530,Gissøysundet S,0.457,35,35,4,11.43
19995,Hagahammaren,0.242,35,35,4,11.43
12449,Tennøya,0.233,36,36,4,11.11
11571,Holevik,0.276,27,27,3,11.11
26135,Kjørsvikgrunn,0.231,36,36,4,11.11
40037,Smedholmen,0.367,46,46,5,10.87
33077,Elveneset,0.456,46,46,5,10.87
10795,Olaneset,0.202,46,46,5,10.87
11939,Smal Skar,0.384,37,37,4,10.81
29896,Renndalen,0.218,28,28,3,10.71
19977,Jektholmen,0.308,29,29,3,10.34
45029,Ramnøya N,0.338,29,29,3,10.34
10331,Åkre,0.24,39,39,4,10.26
11633,Krossholmen,0.305,39,39,4,10.26
35517,Vadholmen,0.262,40,40,4,10.0
10311,Storlia,0.419,50,50,5,10.0
29336,Trælsøyosen,0.212,30,30,3,10.0
14042,Kattholmen,0.331,51,51,5,9.8
32157,Dyrholmen V,0.26,41,41,4,9.76
10181,Oksebåsen V,0.333,52,52,5,9.62
11644,Duesund,0.303,52,52,5,9.62
12879,Endreset,0.294,52,52,5,9.62
12435,Grøttingsøy,0.316,52,52,5,9.62
11365,Gjervika,0.183,52,52,5,9.62
12047,Mjåneset,0.463,52,52,5,9.62
33557,Langskjæra II,0.28,52,52,5,9.62
31497,Toska N,0.395,52,52,5,9.62
20559,Langskjæra,0.28,52,52,5,9.62
22955,Svollandsneset,0.234,42,42,4,9.52
36297,Kjeringeholmen,0.454,32,32,3,9.38
12872,Kattholmen,0.314,43,43,4,9.3
37217,Dale,0.227,34,34,3,8.82
31757,Kasteberget,0.254,34,34,3,8.82
33297,Nye Skorpa,0.176,34,34,3,8.82
12714,Gjerdinga,0.193,34,34,3,8.82
13249,Sagelva,0.285,35,35,3,8.57
10757,Dåvøya,0.16,47,47,4,8.51
11116,Langholmen,0.202,48,48,4,8.33
11334,Skjærvika,0.216,48,48,4,8.33
45231,Slønga,0.215,36,36,3,8.33
45002,Korsvika,0.21,37,37,3,8.11
12179,Oslandsurda,0.226,37,37,3,8.11
25835,Flatøyflu,0.281,50,50,4,8.0
11511,Hattasteinen,0.314,38,38,3,7.89
12466,Brettingen,0.253,38,38,3,7.89
17495,Vullum,0.251,38,38,3,7.89
16165,Tårnvika,0.201,51,51,4,7.84
11930,Bjelkavik,0.29,52,52,4,7.69
13503,Heggvika,0.257,52,52,4,7.69
11339,Ånderkleiva,0.206,52,52,4,7.69
30257,Hausan,0.154,39,39,3,7.69
35477,Makrellskjæret,0.355,52,52,4,7.69
38797,Oløya N,0.265,52,52,4,7.69
12980,Klubben,0.217,52,52,4,7.69
31959,Rataren II,0.274,39,39,3,7.69
12870,Leite,0.28,52,52,4,7.69
25815,Tittelsnes,0.23,40,40,3,7.5
40137,Lønngrunnen,0.181,27,27,2,7.41
45038,Hundaneset,0.234,27,27,2,7.41
13996,Hamnefjord,0.102,41,41,3,7.32
29276,Rongøy,0.162,41,41,3,7.32
38577,Skreda,0.261,28,28,2,7.14
13341,Bakjestranda,0.201,42,42,3,7.14
11667,Gardskråneset,0.243,42,42,3,7.14
10814,Mårsanjarga,0.174,42,42,3,7.14
13058,Fusavika,0.196,42,42,3,7.14
13573,Kistvika,0.215,42,42,3,7.14
24695,Årnes,0.135,29,29,2,6.9
22455,Bjørlykkestranda,0.239,29,29,2,6.9
40017,Stangnes,0.167,30,30,2,6.67
19855,Segelråa,0.296,30,30,2,6.67
12855,Kornstad,0.315,30,30,2,6.67
10229,Fætten,0.271,30,30,2,6.67
11719,Kråkenes,0.235,46,46,3,6.52
11640,Skorpeosen,0.136,46,46,3,6.52
36099,Store Kobbøy,0.213,46,46,3,6.52
12832,Risholmen,0.171,31,31,2,6.45
10825,Steinviknes,0.139,47,47,3,6.38
33657,Movikodden N,0.131,32,32,2,6.25
