week,valid_observations,breach_count,breach_rate,breach_rate_pct
1,10,1.0,0.1,10.0
2,10,1.0,0.1,10.0
3,11,1.0,0.09090909090909091,9.090909090909092
4,11,1.0,0.09090909090909091,9.090909090909092
5,11,1.0,0.09090909090909091,9.090909090909092
6,11,3.0,0.2727272727272727,27.27272727272727
7,11,2.0,0.18181818181818182,18.181818181818183
8,11,2.0,0.18181818181818182,18.181818181818183
9,11,1.0,0.09090909090909091,9.090909090909092
10,12,1.0,0.08333333333333333,8.333333333333332
11,13,1.0,0.07692307692307693,7.6923076923076925
12,13,0.0,0.0,0.0
13,13,1.0,0.07692307692307693,7.6923076923076925
14,13,0.0,0.0,0.0
15,15,0.0,0.0,0.0
16,15,1.0,0.06666666666666667,6.666666666666667
17,14,2.0,0.14285714285714285,14.285714285714285
18,16,0.0,0.0,0.0
19,18,1.0,0.05555555555555555,5.555555555555555
20,20,3.0,0.15,15.0
21,20,4.0,0.2,20.0
22,19,2.0,0.10526315789473684,10.526315789473683
23,19,2.0,0.10526315789473684,10.526315789473683
24,19,3.0,0.15789473684210525,15.789473684210526
25,19,2.0,0.10526315789473684,10.526315789473683
26,19,5.0,0.2631578947368421,26.31578947368421
27,19,3.0,0.15789473684210525,15.789473684210526
28,19,3.0,0.15789473684210525,15.789473684210526
29,19,3.0,0.15789473684210525,15.789473684210526
30,19,3.0,0.15789473684210525,15.789473684210526
31,20,4.0,0.2,20.0
32,20,5.0,0.25,25.0
33,20,6.0,0.3,30.0
34,20,7.0,0.35,35.0
35,20,7.0,0.35,35.0
36,19,7.0,0.3684210526315789,36.84210526315789
37,19,6.0,0.3157894736842105,31.57894736842105
38,18,7.0,0.3888888888888889,38.88888888888889
39,16,6.0,0.375,37.5
40,17,7.0,0.4117647058823529,41.17647058823529
41,16,10.0,0.625,62.5
42,16,15.0,0.9375,93.75
43,16,11.0,0.6875,68.75
44,17,7.0,0.4117647058823529,41.17647058823529
45,15,4.0,0.26666666666666666,26.666666666666668
46,13,5.0,0.38461538461538464,38.46153846153847
47,12,6.0,0.5,50.0
48,12,6.0,0.5,50.0
49,11,3.0,0.2727272727272727,27.27272727272727
50,11,5.0,0.45454545454545453,45.45454545454545
51,11,3.0,0.2727272727272727,27.27272727272727
52,9,2.0,0.2222222222222222,22.22222222222222
