Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
52,2025,15196,Aga Ø,0.3,2.87,0.12,Nei,Ja,4613,BØMLO,46,Vestland,59.845917,5.26075,0.5,Nei,8.4,3,Karmøy til Sotra
52,2025,12067,Aldalen,,,,Ja,Nei,4624,BJØRNAFJORDEN,46,Vestland,60.250015,5.571783,0.5,,,3,Karmøy til Sotra
52,2025,12982,Aldeøyna,,,,Ja,Nei,4645,ASKVOLL,46,Vestland,61.31055,4.767783,0.5,,,4,Nordhordaland til Stadt
52,2025,11756,Allersholmen,,,,Ja,Nei,4632,AUSTRHEIM,46,Vestland,60.774868,4.853533,0.5,,,4,Nordhordaland til Stadt
52,2025,45078,Almbakkevika,,,,Ja,Nei,4602,KINN,46,Vestland,61.620335,5.271967,0.5,,,4,Nordhordaland til Stadt
52,2025,13271,Almurden,0.32,0.48,0.03,Nei,Ja,5049,FLATANGER,50,Trøndelag,64.43353,10.678883,0.5,Nei,7.59,7,Nord-Trøndelag med Bindal
52,2025,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
52,2025,12086,Alsåkervik,0,0.22,0,Nei,Ja,4617,KVINNHERAD,46,Vestland,59.759518,6.072883,0.5,Nei,10.5,3,Karmøy til Sotra
52,2025,13227,Altaneset,0.13,0.87,0.21,Nei,Ja,4624,BJØRNAFJORDEN,46,Vestland,60.248016,5.633883,0.5,Nei,9.06,3,Karmøy til Sotra
52,2025,11179,Alterosen,,,,Ja,Nei,1865,VÅGAN,18,Nordland,68.20727,14.446717,0.5,,,9,Vestfjorden og Vesterålen
52,2025,11513,Andal,0.26,0.91,0.01,Nei,Ja,4613,BØMLO,46,Vestland,59.636482,5.247117,0.5,Nei,8.7,3,Karmøy til Sotra
52,2025,38037,Andalsvågen I,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.5826,12.4032,0.5,,,8,Helgeland til Bodø
52,2025,32277,Andholmen 1,0.16,0.37,0.03,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469215,7.8523,0.5,Nei,9.42,6,Nordmøre og Sør-Trøndelag
52,2025,30156,Anevik,0.06,0.11,0,Nei,Ja,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,Nei,7.2,9,Vestfjorden og Vesterålen
52,2025,13563,Angelskår,,,,Ja,Nei,4630,OSTERØY,46,Vestland,60.523335,5.352617,0.5,,,4,Nordhordaland til Stadt
52,2025,13518,Angstauren,,,,Ja,Nei,5501,TROMSØ,55,Troms,69.695335,18.170267,0.5,,,11,Kvaløya til Loppa
52,2025,29816,Apalvikneset,,,,Ja,Nei,4618,ULLENSVANG,46,Vestland,60.146217,6.121133,0.5,,,3,Karmøy til Sotra
52,2025,14016,Auenes,,,,Nei,Nei,4215,LILLESAND,42,Agder,58.140266,8.2553,0.5,,8.6,1,Svenskegrensen til Jæren
52,2025,45087,Aukan,,,,Ja,Nei,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,,,6,Nordmøre og Sør-Trøndelag
52,2025,12988,Aukrasanden,,,,Ja,Nei,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,,,5,Stadt til Hustadvika
