Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
52,2025,13209,Bognøy,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.604416,5.075833,4,Nordhordaland til Stadt,2
52,2025,13209,Bognøy,ikke-medikamentell,ferskvannsbehandling,,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.604416,5.075833,4,Nordhordaland til Stadt,1
52,2025,13209,Bognøy,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.604416,5.075833,4,Nordhordaland til Stadt,1
52,2025,10256,Bondøya,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.8168,10.7427,7,Nord-Trøndelag med Bindal,6
52,2025,13841,Brunsvik,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4602,KINN,46,Vestland,61.910183,5.29085,4,Nordhordaland til Stadt,
52,2025,11543,Buholmen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.020466,5.080083,3,Karmøy til Sotra,1
52,2025,11543,Buholmen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.020466,5.080083,3,Karmøy til Sotra,1
52,2025,10505,Dragnes,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1866,HADSEL,18,Nordland,68.58393,14.707267,9,Vestfjorden og Vesterålen,
52,2025,33077,Elveneset,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4637,HYLLESTAD,46,Vestland,61.205833,5.131717,4,Nordhordaland til Stadt,1
52,2025,29296,Fleina,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.0951,13.875217,8,Helgeland til Bodø,5
52,2025,11690,Grasholmen,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.595768,5.159717,4,Nordhordaland til Stadt,2
